tweet_id,sentiment,content,test1,test2,test3,test4,test5
1956967341,empty,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part,test1,test2,test3,test4,test5
1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...,test1,test2,test3,test4,test5
1956967696,sadness,Funeral ceremony...gloomy friday...,test1,test2,test3,test4,test5
1956967789,enthusiasm,wants to hang out with friends SOON!,test1,test2,test3,test4,test5
1956968416,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",test1,test2,test3,test4,test5
1956968477,worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,test1,test2,test3,test4,test5
1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",test1,test2,test3,test4,test5
1956968636,worry,Hmmm. http://www.djhero.com/ is down,test1,test2,test3,test4,test5
1956969035,sadness,@charviray Charlene my love. I miss you,test1,test2,test3,test4,test5
1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?,test1,test2,test3,test4,test5
1956969456,neutral,cant fall asleep,test1,test2,test3,test4,test5
1956969531,worry,Choked on her retainers,test1,test2,test3,test4,test5
1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!,test1,test2,test3,test4,test5
1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,test1,test2,test3,test4,test5
1956970860,surprise,Got the news,test1,test2,test3,test4,test5
1956971077,sadness,The storm is here and the electricity is gone,test1,test2,test3,test4,test5
1956971170,love,@annarosekerr agreed,test1,test2,test3,test4,test5
1956971206,sadness,So sleepy again and it's not even that late. I fail once again.,test1,test2,test3,test4,test5
1956971473,worry,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,test1,test2,test3,test4,test5